?ah aysukas on nayttob utesuoys,小説「坊ちゃん」の作者は?,森鴎外,0,夏目漱石,1,島崎藤村,0,田山花袋,0,国木田独歩,0,正宗白鳥,0
?okod ahnnekanikoo nnabiti ednnohin,日本で一番大きな県はどこ？,岩手県,1,北海道,0,長野県,0,福島県,0,新潟県,0,香川県,0
?ah otih atis nekkah ow nesx,X線を発見した人は?,レントゲン,1,アインシュタイン,0,エジソン,0,湯川秀樹,0,キルヒホフ,0,テイラー,0
?erad ahotih ianagotokattan inuoyruotiadakirema,アメリカ大統領になったことない人は？,キング牧師,1,ジョージ・ワシントン,0,エイブラハム・リンカーン,0,ジョン・F・ケネディ,0,ジョージ・W・ブッシュ,0,バラク・オバマ,0
? ak inan ot ustisukapnat ot ustubakiusnat ah osuoyieiadnas,3大栄養素は炭水化物とタンパク質と何か?,脂質,1,鉄分,0,ビタミン,0,ナトリウム,0,食物繊維,0,カリウム,0
?ahamisura inimanimnnabiti onnnohin,日本の一番南にある島は？,沖ノ鳥島,1,南鳥島,0,与那国島,0,屋久島,0,択捉島,0,沖縄,0
?urietiked edinan ah odnoomayiad,ダイヤモンドは何でできている？,炭素,1,塩素,0,バリウム,0,セシウム,0,ネオン,0,ラジウム,0
? ak inan ah iatik iurak omottom ed uuhcikiat,大気中で最も軽い気体は何か?,水素,1,ヘリウム,0,酸素,0,炭素,0,カリウム,0,窒素,0
?ah otih atis nekkah ow ukosuoh on ukoyrniuuynnab,万有引力の法則を発見した人は?,ニュートン,1,フランクリン,0,マルコーニ,0,パスカル,0,ウィルソン,0,ベアド,0
?ahutizuuyk urukinemizahnnabiti onuk-iwnnedur-og onutag5,５月のゴールデンウィークの一番はじめに来る休日は？,憲法記念日,1,昭和の日,0,みどりの日,0,こどもの日,0,海の日,0,建国記念の日,0
?ahutirukak uranin7agiekuog ettuhok2oworokias,サイコロを２個振って合計が７になる確率は？,1/6,1,1/3,0,1/2,0,1/12,0,1/4,0,1/36,0
? ak odnan ah aw on ukakian on iekkakog,五角形の内角の和は何度か?,540°,1,90°,0,180°,0,270°,0,360°,0,450°,0
?ahawakiaganitiiakes ureragan owukiriatakiruha,アフリカ大陸を流れる世界一長い川は？,ナイル川,1,アマゾン川,0,ミシシッピ川,0,長江（チャンジャン）,0,信濃川,0,コンゴ川,0
?eradah-atukaraykottokusam nninuokih edakanonok,この中で非公認は誰？,ふなっしー,1,くまモン,0,ひこにゃん,0,せんとくん,0,メロン熊,0,バリィさん,0
?eradahonianiinisinuuyz edakanonok,この中で十二支にいないものはどれ？,狐,1,猪,0,鶏,0,羊,0,蛇,0,兎,0
